,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
068750_1..N02R::1404619200.0,11,1,9,11,4,32,20,17,4,23,-9,-9,11,60,10,8,-8,10,14,7,12,-14,4,0,-12,-34,-19,6,-10,127,0,-12,-12,4,5,13,7,-2
069550_1..N02R::1404619200.0,-9,14,13,42,8,56,45,7,-8,19,-8,-11,-19,59,-13,15,-1,-12,-22,6,14,-11,8,-13,13,-16,-19,-9,0,10,-4,71,-7,-6,-13,8,6,10
070350_1..N02R::1404619200.0,-6,-8,3,10,-4,13,24,0,-7,-10,1,10,11,18,-8,4,13,1,12,8,6,-3,-12,13,-1,14,-1,6,14,38,-2,52,6,15,-9,6,-4,11
071150_1..N02R::1404619200.0,-18,-6,-14,13,-26,19,3,-8,7,-7,-15,5,-19,61,-27,-14,-4,6,0,-18,9,-17,-3,3,-3,-5,-4,-5,-11,115,-6,50,-15,-16,4,6,9,0
071950_1..N02R::1404619200.0,12,19,4,-8,-4,-28,15,24,-3,-5,18,2,11,67,-11,-5,11,16,14,10,-7,10,8,9,-13,-12,-16,-6,19,29,13,47,-35,10,10,-12,12,8
072750_1..N02R::1404619200.0,1,-5,8,-7,-1,-5,11,-14,1,3,-14,-9,-19,64,-1,2,14,12,23,-12,-8,12,21,5,9,-8,-24,7,17,-12,17,68,24,-1,16,-6,8,-5
073550_1..N02R::1404619200.0,12,9,25,51,-2,2,-13,16,4,17,-13,14,-19,66,9,21,12,13,21,-1,8,8,6,3,-13,-4,-37,18,20,16,11,-16,13,5,11,16,24,2
074350_1..N02R::1404619200.0,11,-13,11,111,6,14,7,-6,5,1,-70,18,11,58,-55,11,-3,5,-2,-12,11,-11,-34,5,2,-1,,-12,-11,60,2,56,-16,11,3,-15,6,0
075150_1..N02R::1404619200.0,-10,19,20,60,-2,61,3,-7,-5,-14,-7,13,11,56,12,-12,14,2,15,8,11,20,6,-1,-2,-16,,-6,12,12,-37,20,-7,-1,13,6,-55,2
075950_1..N02R::1404619200.0,-8,14,16,0,-11,21,18,26,0,-6,-7,-54,-49,63,7,14,-20,-3,21,10,0,-11,17,12,13,-15,-51,-11,6,128,-4,-15,4,-10,20,8,13,8
076750_1..N02R::1404619200.0,-9,-13,-5,85,9,66,-13,-1,-9,0,-13,-9,-19,55,-13,2,3,1,18,-6,9,-12,8,-9,9,8,-21,-16,-12,76,1,78,-10,-31,14,-19,12,6
077550_1..N02R::1404619200.0,-10,16,17,6,5,-102,31,1,-6,6,-11,7,11,54,-10,19,-105,12,12,-10,9,10,14,-13,3,28,-35,-9,-7,-1,20,64,-1,-6,19,-7,16,10
078350_1..N02R::1404619200.0,2,0,8,0,-1,56,-5,-19,4,-73,-2,-4,11,58,1,5,-12,6,19,-38,2,-6,-6,-9,-2,0,-24,9,15,45,-7,3,-2,-6,-1,2,8,10
079150_1..N02R::1404619200.0,-9,8,7,82,16,0,-6,13,-6,6,-2,-2,11,61,-15,8,5,-12,9,-3,1,-4,7,-7,-11,9,-38,13,-1,134,6,-51,13,-3,13,-11,3,-4
079950_1..N02R::1404619200.0,-4,-2,2,58,20,11,14,10,11,-16,-4,-9,11,51,3,-1,8,-2,26,-28,-6,-15,-6,11,15,3,-22,3,6,75,-6,-17,14,10,-4,1,-3,-9
080750_1..N02R::1404619200.0,4,-15,3,64,-2,14,20,18,-11,21,2,-10,11,72,-22,11,-8,2,36,4,6,-7,-2,11,-11,10,-54,-11,13,29,8,-29,11,19,1,19,-35,-3
081550_1..N02R::1404619200.0,12,-1,10,69,9,-97,8,8,8,42,-19,12,11,69,-2,7,-37,-12,21,-11,9,4,18,-3,9,0,-31,8,-3,45,-12,-29,17,0,22,-3,-26,23
082350_1..N02R::1404619200.0,-2,7,10,108,8,14,6,-6,-9,7,-11,-14,11,44,-14,7,1,5,14,1,16,-16,13,1,2,7,-22,14,-12,121,6,-29,-6,13,-9,-10,10,-2
083150_1..N02R::1404619200.0,4,16,5,2,4,14,13,12,31,-2,13,1,11,56,-12,-1,20,3,30,-17,-2,9,11,37,14,-8,-10,-2,0,48,14,-5,24,17,9,-12,7,-2
083950_1..N02R::1404619200.0,-13,-12,5,-8,-13,20,4,8,12,7,-78,-9,11,71,-13,0,4,-1,-69,-4,-13,9,-17,-12,-1,3,-27,-1,2,110,-15,-27,-7,-8,19,-4,3,7
084750_1..N02R::1404619200.0,-15,14,17,17,-3,-1,10,33,-3,18,10,-14,-19,68,-12,-34,10,10,-1,9,10,1,12,2,21,-19,-28,-4,19,19,3,62,10,6,16,8,25,21
085550_1..N02R::1404619200.0,-16,-6,-66,65,-11,2,33,-4,-11,-10,-15,8,-49,61,3,-10,-18,-8,10,11,6,-52,1,-6,-3,19,-10,-6,0,30,-8,50,17,1,7,4,5,7
086350_1..N02R::1404619200.0,7,-4,9,-11,21,36,14,19,9,14,-6,-11,-49,66,2,7,4,3,25,-4,-9,-10,-4,4,15,5,-22,7,11,22,-1,68,2,8,4,7,8,6
087150_1..N02R::1404619200.0,-7,13,-5,4,15,20,10,29,-12,10,-15,8,11,58,14,-10,0,3,7,18,30,13,1,0,-16,18,-16,-8,4,48,-9,49,19,-2,-3,-1,4,18
087950_1..N02R::1404619200.0,9,12,21,17,-1,9,30,12,13,20,17,9,11,64,13,4,7,17,16,2,10,6,9,18,12,2,-9,-2,19,59,8,53,11,14,-23,12,46,23
088750_1..N02R::1404619200.0,-56,-35,-10,66,-6,60,-6,22,-8,27,-7,16,-19,68,9,-8,-17,2,12,-25,8,-9,-24,-6,-6,11,-28,2,8,14,-34,70,-8,-2,-15,11,10,-2
089550_1..N02R::1404619200.0,-2,-2,-11,72,0,67,0,21,2,-5,-19,-10,-19,45,8,-7,-7,1,13,12,12,-16,9,-4,-7,-9,-19,-1,15,15,-4,60,-59,5,-64,8,16,0
090350_1..N02R::1404619200.0,-16,8,-24,68,-4,16,23,28,14,8,10,-14,-19,57,13,8,-13,4,4,-1,10,9,7,19,-6,8,-24,13,15,37,17,62,12,15,11,-5,4,6
091150_1..N02R::1404619200.0,3,3,6,104,2,9,-3,-8,10,1,-11,10,-19,65,7,10,-4,-27,0,-7,11,-16,-4,-4,-5,3,-31,18,-15,31,4,67,10,6,1,-13,0,-2
091950_1..N02R::1404619200.0,-1,2,7,16,-1,65,15,-15,4,24,15,19,-19,61,2,2,14,13,-6,-9,11,9,-2,6,13,-3,-31,30,17,17,6,47,12,9,-2,13,14,-1
092750_1..N02R::1404619200.0,11,2,8,9,7,42,30,20,-9,6,7,-17,-19,65,-5,-2,-8,-11,14,-10,13,5,12,11,9,16,-35,4,-1,95,13,-31,10,15,12,-60,20,-4
093550_1..N02R::1404619200.0,-20,2,6,18,15,2,14,19,5,-2,8,-12,11,74,-26,5,2,-13,0,-14,16,-36,-5,6,11,-21,-27,10,-1,110,6,-68,15,8,5,-16,-1,9
094350_1..N02R::1404619200.0,-4,16,6,9,6,14,29,8,-3,-2,8,6,-19,54,-9,-51,-6,-9,20,10,9,-4,15,16,0,-14,-7,-4,-2,31,7,24,8,18,-7,-14,17,21
095150_1..N02R::1404619200.0,-13,-9,18,12,-11,22,18,20,5,12,7,0,-19,76,-5,4,0,3,23,-6,5,1,16,5,13,-1,-14,6,9,34,4,-28,3,0,16,11,15,7
095950_1..N02R::1404619200.0,32,15,16,8,7,44,-1,24,-3,-4,12,5,11,61,-8,-13,-109,-21,16,15,15,-20,20,-4,-7,20,-11,-9,-37,101,-6,-33,-12,31,-4,8,10,0
096750_1..N02R::1404619200.0,5,12,22,15,8,29,16,19,-6,6,16,6,11,40,15,16,-6,24,7,21,11,12,6,1,12,-12,-7,-10,-1,29,-12,58,17,0,6,-4,31,1
