,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
083650_4..S06R::1404446400.0,18,3,39,29,64,45,-15,25,34,26,-19,42,18,31,27,23,31,21,25,46,46,38,14,45,22,11,6,49,,,,,,,,,,,,,,,,,,,,,,,,,,
084450_4..S06R::1404446400.0,26,4,19,28,36,13,16,13,22,28,-19,15,28,27,22,22,6,-1,16,0,26,-20,9,35,35,-15,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,
085250_4..S06R::1404446400.0,18,4,1,6,55,34,32,23,-29,22,-19,18,31,3,31,-1,-1,20,10,-26,36,9,10,36,13,-11,-4,19,,,,,,,,,,,,,,,,,,,,,,,,,,
086050_4..S06R::1404446400.0,,,,,,,,,35,323,-19,,18,,,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086850_4..S06R::1404446400.0,23,3,9,36,6,27,32,2,1,7,11,12,27,25,7,3,21,16,3,26,19,-79,1,58,36,10,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,
087650_4..S06R::1404446400.0,20,-5,6,20,20,1,4,24,6,9,11,-2,30,21,-3,6,8,9,-4,28,21,27,2,22,26,16,-38,18,,,,,,,,,,,,,,,,,,,,,,,,,,
088450_4..S06R::1404446400.0,30,-6,15,3,41,19,28,7,-27,4,161,2,13,19,31,13,0,0,-43,9,27,29,2,26,-4,-12,-27,-20,,,,,,,,,,,,,,,,,,,,,,,,,,
089250_4..S06R::1404446400.0,2,10,-5,17,34,36,61,-2,11,-4,-19,-1,-7,28,11,-6,20,-24,14,9,11,-66,-7,26,21,9,-6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
090050_4..S06R::1404446400.0,6,9,24,-22,43,6,21,-28,12,18,-19,14,1,22,17,-8,20,11,12,22,28,-1,-15,-2,1,0,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
090850_4..S06R::1404446400.0,6,6,21,14,37,24,26,1,14,8,11,4,-2,-4,13,-5,14,7,6,77,14,33,8,8,0,-8,1,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
086050_4..S::1404446400.0,16,11,25,44,49,7,37,,,,,-22,,22,27,,-5,,7,41,-1,17,,37,7,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
091650_4..S06R::1404446400.0,4,4,9,45,25,19,97,-2,-6,13,-19,-6,-3,22,18,9,2,14,-5,18,3,-94,-4,27,115,12,-7,17,,,,,,,,,,,,,,,,,,,,,,,,,,
092450_4..S06R::1404446400.0,28,14,3,6,37,14,24,-5,1,14,11,-2,19,12,9,8,-5,-1,-3,18,21,16,3,22,23,14,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
093250_4..S06R::1404446400.0,-2,-46,12,33,25,20,4,12,11,-1,-19,5,0,30,21,9,-3,8,22,22,52,10,-61,27,-2,5,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,
094050_4..S06R::1404446400.0,10,0,4,3,37,13,20,18,-2,-6,71,3,6,0,25,14,1,-11,5,18,49,-66,-15,8,-1,1,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,
094850_4..S06R::1404446400.0,28,4,-82,10,33,-6,12,2,1,-8,-19,0,4,13,-7,-44,-6,-10,-14,-4,149,-5,-2,4,15,19,-2,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
095650_4..S06R::1404446400.0,10,0,29,22,35,39,26,6,0,-3,-19,26,14,15,16,15,-1,-9,7,10,38,0,12,20,-2,-4,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,
096450_4..S06R::1404446400.0,36,6,-6,21,40,-8,53,14,0,-13,-19,-7,7,20,4,-12,2,-11,-11,3,137,-70,0,17,11,-9,6,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
097250_4..S06R::1404446400.0,23,4,12,4,42,14,-19,16,-11,-12,-19,-9,4,6,21,2,-9,13,12,7,19,23,19,20,19,2,13,39,,,,,,,,,,,,,,,,,,,,,,,,,,
098050_4..S06R::1404446400.0,27,-7,7,49,30,-2,0,13,3,-15,11,5,5,11,-20,-8,13,-8,-10,14,94,13,-1,13,1,-40,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
098850_4..S06R::1404446400.0,5,-2,30,17,31,5,-2,-2,-34,-6,-19,3,11,-12,15,7,7,-6,-4,17,80,-75,1,32,-4,-11,-1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
099650_4..S06R::1404446400.0,-3,-61,25,69,39,38,7,1,20,8,-19,17,-12,8,23,-5,16,8,19,13,35,2,-4,17,19,9,-10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
100450_4..S06R::1404446400.0,2,-1,-3,23,17,1,27,19,6,1,11,22,-12,21,8,-12,-4,-2,10,24,36,18,18,0,-37,-1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
101250_4..S06R::1404446400.0,35,-41,9,16,23,8,16,20,9,9,-19,-2,-5,30,-4,-6,-10,-1,14,17,98,-90,18,39,-1,3,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,
102050_4..S06R::1404446400.0,11,2,7,19,14,-8,-6,0,10,-1,-49,3,-8,24,-11,-15,14,1,19,6,117,17,-4,56,-6,16,-5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
102850_4..S06R::1404446400.0,21,-7,-4,8,27,16,14,26,-9,11,-19,13,11,8,35,0,-8,20,-8,20,31,-13,-1,44,21,12,-8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
103650_4..S06R::1404446400.0,12,-7,16,33,7,17,164,-26,4,-13,-49,1,6,9,-5,-9,-4,-6,-52,7,14,-86,-4,21,50,-15,-1,21,,,,,,,,,,,,,,,,,,,,,,,,,,
104450_4..S06R::1404446400.0,18,3,25,13,51,16,20,18,-2,21,-19,8,-1,12,4,-21,20,15,-4,9,29,35,-1,14,20,12,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,
105250_4..S06R::1404446400.0,17,-43,17,3,27,-5,18,21,4,-4,-19,-3,7,-2,9,-13,11,-7,9,18,20,4,-13,12,22,5,-13,15,,,,,,,,,,,,,,,,,,,,,,,,,,
106050_4..S06R::1404446400.0,36,4,3,16,69,3,32,14,11,11,-19,2,-7,18,3,-9,20,6,13,39,35,-87,-14,32,7,2,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,
106850_4..S06R::1404446400.0,22,10,-11,26,34,29,37,15,-8,2,-19,18,-8,31,36,4,19,11,-2,38,30,1,7,3,30,-5,7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
107650_4..S06R::1404446400.0,8,3,12,39,39,26,18,15,1,-8,-19,-4,8,12,24,9,0,-10,8,12,16,24,15,21,-4,-1,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,
108450_4..S06R::1404446400.0,12,-5,27,30,17,14,46,-1,0,8,11,14,2,7,-9,-13,-3,-11,15,4,27,-80,-5,13,-19,11,-7,15,,,,,,,,,,,,,,,,,,,,,,,,,,
109250_4..S06R::1404446400.0,37,-12,23,19,38,19,10,21,14,-17,41,5,9,-1,11,1,-12,0,0,44,45,9,13,9,7,-2,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
110050_4..S06R::1404446400.0,11,-84,6,20,70,8,25,30,11,-6,-19,27,8,15,10,15,1,23,5,43,39,26,9,32,5,-9,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
110850_4..S06R::1404446400.0,6,-7,7,8,18,-2,12,-37,-15,-9,-19,0,-20,-2,84,5,-5,4,4,30,77,-68,-14,11,-1,7,-8,5,,,,,,,,,,,,,,,,,,,,,,,,,,
111650_4..S06R::1404446400.0,25,8,19,53,70,18,30,-6,12,-7,-19,18,13,33,13,-3,6,3,21,24,59,36,25,36,-12,6,-10,24,,,,,,,,,,,,,,,,,,,,,,,,,,
112650_4..S06R::1404446400.0,21,11,3,17,38,48,45,13,3,-8,-19,25,4,6,6,5,16,-5,-3,7,40,35,8,-54,-14,-37,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
113850_4..S06R::1404446400.0,26,-44,7,41,23,15,4,2,3,-2,11,16,-13,12,25,-9,-14,4,17,36,43,16,-1,-36,3,-11,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,
115050_4..S06R::1404446400.0,31,7,18,34,44,16,39,15,0,2,11,29,17,5,17,7,8,-3,14,32,37,29,16,-23,27,-3,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,
116250_4..S06R::1404446400.0,18,10,7,43,80,26,20,-10,7,14,-49,33,-2,-20,44,-7,-2,-2,-5,35,47,26,4,-47,14,-4,12,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
117450_4..S06R::1404446400.0,5,-2,15,72,67,27,36,26,-6,33,191,29,2,8,17,7,6,15,16,40,52,55,15,-44,0,-4,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,
118650_4..S06R::1404446400.0,46,9,12,26,60,5,20,12,20,3,-109,13,-12,30,73,0,14,9,-6,28,5,-1,2,-35,23,-9,3,40,,,,,,,,,,,,,,,,,,,,,,,,,,
119850_4..S06R::1404446400.0,27,-2,-1,47,61,3,30,9,15,14,-199,23,-13,11,176,-4,11,6,-12,31,33,6,0,-46,-2,-14,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,
121050_4..S06R::1404446400.0,24,-58,18,94,63,56,24,9,19,4,-19,17,22,22,27,0,-6,25,-36,31,60,27,11,129,7,-1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
122250_4..S06R::1404446400.0,-28,9,25,46,44,28,22,11,19,4,-19,13,13,23,10,-4,21,18,12,21,50,39,1,-30,28,13,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,
123450_4..S06R::1404446400.0,7,4,10,56,54,-15,35,37,15,7,-19,25,8,31,30,-5,19,15,5,32,47,5,5,-38,18,17,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
124650_4..S05R::1404446400.0,-10,2,10,26,68,-2,-12,15,-11,-2,-19,37,16,-8,2,4,-10,6,2,31,15,45,11,2,6,-4,10,27,-7,-9,-8,5,7,,,,,,,,,,,,,,,,,,,,,
125850_4..S05R::1404446400.0,17,-79,27,17,34,10,7,3,-11,18,-19,12,-1,-2,17,3,12,9,-37,28,36,34,7,10,11,-9,-1,31,16,34,7,7,3,,,,,,,,,,,,,,,,,,,,,
127050_4..S05R::1404446400.0,-2,-2,22,19,21,-2,1,0,-12,2,11,-6,-5,21,18,2,1,11,-5,14,13,-7,3,3,-2,20,-3,41,10,0,19,23,-20,,,,,,,,,,,,,,,,,,,,,
128250_4..S05R::1404446400.0,10,,16,26,49,-5,6,22,-3,9,11,4,18,52,23,9,15,-12,4,27,31,6,6,31,-1,20,1,47,-6,12,6,,,,,,,,,,,,,,,,,,,,,,,
129450_4..S05R::1404446400.0,24,-82,18,18,31,-7,-29,9,13,-6,11,-6,15,60,12,2,8,2,-3,99,29,-8,8,23,29,-6,3,60,5,0,-2,-6,-6,,,,,,,,,,,,,,,,,,,,,
130650_4..S05R::1404446400.0,16,-3,31,20,3,9,1,-5,-11,20,-19,5,-1,34,14,-34,8,-15,-46,26,31,2,-1,232,7,13,-9,49,1,20,15,11,6,,,,,,,,,,,,,,,,,,,,,
131850_4..S05R::1404446400.0,10,-87,7,5,6,10,61,2,7,-5,-19,-10,12,52,-11,-9,0,-2,-13,20,30,-2,0,29,113,-10,4,62,-4,-7,-8,12,-14,,,,,,,,,,,,,,,,,,,,,
133050_4..S01R::1404446400.0,20,31,2,26,38,-5,17,-9,1,-12,-19,5,-1,16,-19,-11,11,-12,9,29,38,4,-12,38,13,7,-10,36,-49,14,-13,10,-20,20,20,-5,-2,61,2,19,,,,,,,,,,,,,,
134250_4..S01R::1404446400.0,-6,10,23,30,30,11,18,-11,-10,16,11,10,-37,42,12,3,8,14,18,28,4,9,-8,27,-65,-23,17,38,-8,12,9,0,30,7,16,20,20,69,22,4,,,,,,,,,,,,,,
135450_4..S01R::1404446400.0,60,4,13,6,17,-9,7,8,-9,-86,-19,17,11,10,4,-18,8,8,9,13,25,16,-10,14,22,11,-3,77,6,2,-2,9,5,5,17,-6,0,61,-1,20,,,,,,,,,,,,,,
132600_4..S05R::1404446400.0,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132800_4..S05R::1404446400.0,9,,,23,9,,,,,,,,,,,,,,,18,60,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136650_4..S01R::1404446400.0,3,35,51,24,11,36,21,0,-14,27,-19,18,-10,29,19,3,-16,5,-4,25,32,57,2,33,4,16,-4,54,-8,17,14,32,21,,,,,,,,,,,,,,,,,,,,,
128250_4..S::1404446400.0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,-11,-24,16,19,20,35,-9,96,,,,,,,,,,,,,,
137850_4..S01R::1404446400.0,-2,,,49,35,15,-22,-6,4,-12,11,14,4,9,20,-8,7,-8,10,4,7,0,-12,208,17,7,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,
139050_4..S01R::1404446400.0,32,,,16,41,14,18,-7,-3,-13,-49,2,7,-153,13,12,4,-14,15,4,120,9,-5,,-16,7,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
140250_4..S01R::1404446400.0,,,,,3,8,30,-10,12,-8,-19,5,11,,14,1,0,-1,-3,,21,22,11,,,2,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
141450_4..S01R::1404446400.0,,,,,,-209,-2,19,9,2,41,,8,,11,-5,2,0,16,,,21,-9,,,9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
142400_4..S01R::1404446400.0,,,,,,,,,-5,-5,341,,2,,,7,,18,-3,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000400_4..S01R::1404532800.0,0,-445,14,35,36,-5,27,10,-30,-26,11,-3,13,-14,17,5,0,20,-6,7,14,13,-2,-66,22,8,14,54,-3,-21,4,30,23,7,13,14,4,57,3,18,,,,,,,,,,,,,,
001400_4..S13R::1404532800.0,-31,-441,31,23,24,5,28,3,-13,10,101,4,-6,28,17,4,-7,6,-6,-4,14,-25,2,-3,18,13,-4,267,51,-1,21,15,14,-2,12,-10,22,42,-4,14,-8,7,21,12,4,0,8,16,11,-28,17,-2,8,-2
136650_4..S01R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-2,3,-22,66,4,20,,,,,,,,,,,,,,
137850_4..S01R::1404532800.0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,41,-6,18,19,17,16,6,17,142,19,56,21,5,,,,,,,,,,,,,,
139050_4..S01R::1404532800.0,,19,26,,,,,,,,,,,-10,,,,,,,,,,108,,,,71,-7,14,4,-7,-7,6,-9,-2,8,48,15,4,,,,,,,,,,,,,,
140250_4..S01R::1404532800.0,24,30,8,33,,,,,,,,,,14,,,,,,29,,,,21,12,,,37,-6,-11,-10,-1,2,-11,-1,6,12,37,-10,13,,,,,,,,,,,,,,
141450_4..S01R::1404532800.0,22,18,17,9,30,-5,,,,,,-27,,26,,,,,,12,26,,,22,22,,,24,7,4,7,20,-8,10,17,23,14,54,19,-33,,,,,,,,,,,,,,
142400_4..S01R::1404532800.0,23,34,-18,19,29,12,9,-1,,,,13,,22,-7,,15,,,-4,34,-3,2,10,13,19,-34,74,-25,-1,20,-9,12,13,-14,13,14,49,-12,4,,,,,,,,,,,,,,
003400_4..S13R::1404532800.0,,,,,,4,-4,3,1,9,-19,29,16,,12,-12,8,-7,10,,12,-16,7,,,-8,2,,,,,,,,,,,,,,23,2,-15,19,-36,-84,-36,-11,-14,129,,,,
005400_4..S13R::1404532800.0,20,-396,-13,33,57,12,20,14,-36,16,41,16,1,14,0,15,0,-7,-23,33,45,24,16,-54,13,2,14,41,23,5,2,7,5,11,17,18,20,59,22,5,-28,10,-8,-38,14,11,14,-1,-6,11,3,5,-8,12
007400_4..S13R::1404532800.0,32,-431,32,-5,24,17,24,-5,7,16,-49,13,1,16,20,-4,14,-5,-2,-4,34,4,10,-45,18,3,-14,20,10,8,12,-4,-2,-3,13,-5,1,62,8,-8,-1,-12,4,13,20,12,-3,-3,-5,-9,-6,7,-38,-11
009400_4..S13R::1404532800.0,6,-414,28,56,26,57,15,14,-11,6,-19,1,18,9,7,3,6,9,10,23,40,-5,-11,-76,-1,5,15,28,-6,18,17,11,11,-20,22,-6,22,50,-3,15,9,-7,5,-22,-9,-5,4,-12,12,3,-6,7,23,6
011400_4..S13R::1404532800.0,-7,-453,10,34,58,16,6,-2,11,-14,-19,83,9,9,73,-1,-10,-5,0,-3,20,-85,-22,-15,18,0,-13,33,-33,-3,-9,-1,3,7,-30,1,5,36,11,-2,8,-4,10,-10,8,-16,11,-14,-15,11,10,-10,12,9
013400_4..S13R::1404532800.0,7,-441,19,23,35,-10,12,-2,8,5,101,-4,14,-8,9,-4,9,24,17,241,0,-4,-5,-70,0,13,-4,27,-5,16,10,2,-1,20,18,22,8,63,5,19,2,-10,0,-1,-9,-9,-7,-9,-50,-23,4,10,16,6
015400_4..S13R::1404532800.0,-5,-428,31,14,20,-3,8,-1,-13,-12,-19,3,-1,-2,19,2,-12,12,-2,-5,15,16,3,-76,15,18,-2,35,-3,19,14,2,0,-2,11,-11,22,60,25,0,-28,-16,7,11,-2,0,4,8,3,-5,18,25,-3,14
017400_4..S13R::1404532800.0,11,-313,10,24,23,-6,3,-1,-34,-3,11,99,-12,10,26,8,11,13,2,12,38,9,11,-58,0,1,-15,23,-49,15,-62,1,-12,15,-20,2,6,65,13,33,-7,9,-12,-4,-3,2,-2,4,1,-7,-4,9,1,-8
019400_4..S13R::1404532800.0,9,-211,8,8,30,2,8,10,5,8,11,10,16,10,2,21,1,-34,4,-10,5,22,12,-85,8,-1,8,34,4,25,12,20,16,-4,5,8,5,46,6,21,15,4,13,13,4,6,9,-9,14,1,-27,12,-3,18
021400_4..S13R::1404532800.0,15,49,69,26,21,-67,-11,9,5,-5,11,101,10,-10,-3,-8,12,-4,-8,5,-2,11,4,-80,-4,-9,4,37,-11,14,13,19,-8,-2,14,20,-9,38,-3,15,2,-11,-35,4,3,5,11,0,0,-7,-11,5,-2,-8
023400_4..S13R::1404532800.0,5,13,72,9,78,-76,7,-7,-3,9,11,102,1,7,9,-19,-37,-9,12,-2,6,-38,-5,-70,-11,10,-8,19,-14,13,-15,13,-11,-9,6,-16,-5,60,6,-4,11,-3,-14,-7,-2,3,-11,-10,-11,-13,-3,-16,7,3
