,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
143150_2..N08X016::1404619200.0,,,,,,,10,121,3,15,-77,-10,30,,,0,3,14,9,,,21,,,,-15,14,,-23,,,68,19,,27,,8,,17,-19,,-13,,,46,2,,,39,,,,,,,,,,,-12,4,17,-7,16,-15,-6,15,5,4,-10,27,,,,,,,,,,
143300_2..N01X033::1404619200.0,34,8,16,,,,,,,,,,,,,,,,,,,,,-14,,,,43,,,,,,,,2,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004500_2..N01X033::1404619200.0,27,5,36,-19,,,,,,,,,,,,,,,,,15,,,1,,,,59,,,-4,,,,,2,,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149150_2..N08X016::1404619200.0,,,,,,,14,46,-4,21,-87,14,33,-19,,16,4,-4,2,,,37,11,,,18,5,,-5,14,,4,2,,46,,9,15,19,0,,8,,15,24,6,,,9,,,,,,,,,,,-57,10,13,18,10,13,19,36,6,7,208,18,,,,,,,,,,
006500_2..N01X033::1404619200.0,0,16,-5,-19,,,,,,,,,,,,,,,,,5,,,10,,,,72,,,-12,,,,,-14,,,,,-5,,,,,,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151150_2..N08X016::1404619200.0,,,,,,,84,-3,20,5,-199,6,28,-19,,4,-8,14,13,,,43,-1,,,-19,19,,18,8,,9,-2,,38,,0,-15,12,-4,,1,,-5,35,87,,,9,,,,,,,,,,,11,-3,12,20,4,9,-7,-2,-8,-1,10,-8,,,,,,,,,,
067150_2..N01X032::1404619200.0,,,,,,,,,,,,,,-37339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008500_2..N01X033::1404619200.0,18,4,7,41,,,,,,,,,,,,,,,,,6,,,4,,,,66,,,-73,,,,,6,,,,,14,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153150_2..N08X016::1404619200.0,,,,,,,6,23,7,-7,-85,3,6,-19,,-15,23,14,9,,,16,-8,,,-7,12,,18,-3,,-5,7,,57,,-8,2,10,23,,-9,,6,27,38,,,-15,,,,,,,,,,,14,8,17,-4,1,9,14,8,-2,7,9,-16,,,,,,,,,,
010500_2..N01X033::1404619200.0,29,14,-4,-19,,,,,,,,,,,,,,,,,-8,,,7,,,,55,,,-7,,,,,15,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155150_2..N08X016::1404619200.0,,,,,,,-15,1,8,-1,-75,0,1,-19,,-3,-38,8,-4,,,6,9,,,8,9,,9,-5,,5,5,,41,,-13,4,11,-4,,-13,,-15,48,16,,,7,,,,,,,,,,,-19,-5,-18,-4,-47,-5,-22,-11,14,-5,8,-7,,,,,,,,,,
012500_2..N01X033::1404619200.0,22,-4,4,11,,,,,,,,,,,,,,,,,-12,,,-11,,,,59,,,1,,,,,-3,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013150_2..N08X016::1404619200.0,,,,,,,3,-6,-18,22,-97,-17,11,-19,,4,14,22,-57,,,93,-2,,,10,0,,-32,8,,5,3,,71,,10,-14,2,7,,8,,-5,14,31,,,0,,,,,,,,,,,-12,-52,-5,3,-12,-5,-9,14,9,-7,3,-12,,,,,,,,,,
014500_2..N01X033::1404619200.0,10,-10,-22,11,,,,,,,,,,,,,,,,,8,,,7,,,,55,,,-6,,,,,16,,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015150_2..N08X016::1404619200.0,,,,,,,1,18,2,3,-79,9,-10,-19,,8,7,10,2,,,15,9,,,13,10,,14,-38,,4,-36,,29,,-12,-8,0,0,,-1,,0,29,58,,,-2,,,,,,,,,,,9,2,10,-11,-7,-1,12,13,10,-10,2,13,,,,,,,,,,
016500_2..N01X033::1404619200.0,36,-10,20,41,,,,,,,,,,,,,,,,,9,,,17,,,,61,,,12,,,,,24,,,,,-6,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017150_2..N08X016::1404619200.0,,,,,,,-4,28,4,-10,-80,-8,30,-49,,-5,12,-1,-5,,,6,-1,,,1,27,,-5,-22,,26,-5,,28,,-9,13,-3,12,,-8,,-10,14,-2,,,-3,,,,,,,,,,,-10,14,18,-6,-8,-3,6,1,20,-6,-5,-1,,,,,,,,,,
018500_2..N01X033::1404619200.0,23,6,2,-19,,,,,,,,,,,,,,,,,9,,,7,,,,66,,,9,,,,,12,,,,,12,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019150_2..N08X016::1404619200.0,,,,,,,10,30,-13,11,81,-1,26,101,,-5,0,17,7,,,14,8,,,-2,12,,16,13,,15,-5,,33,,19,16,14,13,,2,,-10,9,-5,,,19,,,,,,,,,,,-8,14,18,23,-9,-8,-34,1,16,-11,-29,1,,,,,,,,,,
020500_2..N01X033::1404619200.0,41,14,18,-19,,,,,,,,,,,,,,,,,3,,,5,,,,44,,,9,,,,,14,,,,,17,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021150_2..N08X016::1404619200.0,,,,,,,13,19,-19,-9,-90,3,26,-19,,3,-6,3,12,,,0,13,,,10,18,,-26,-11,,-3,-38,,43,,-36,-8,11,20,,15,,-1,25,-38,,,11,,,,,,,,,,,0,-8,-54,2,-1,0,9,17,8,11,7,17,,,,,,,,,,
022500_2..N01X033::1404619200.0,4,7,-22,-49,,,,,,,,,,,,,,,,,-54,,,-7,,,,51,,,11,,,,,3,,,,,-3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023150_2..N08X016::1404619200.0,,,,,,,16,9,0,-3,-78,-7,20,-49,,10,-2,15,1,,,6,10,,,17,8,,19,-10,,-1,-41,,39,,17,-3,15,-14,,7,,4,31,-25,,,-7,,,,,,,,,,,-13,11,10,-13,-12,-4,7,14,6,-15,-7,4,,,,,,,,,,
024500_2..N01X033::1404619200.0,79,-1,22,161,,,,,,,,,,,,,,,,,14,,,-5,,,,49,,,-12,,,,,0,,,,,-31,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
025150_2..N08X016::1404619200.0,,,,,,,-26,11,-4,6,58,-6,29,-19,,10,20,-5,-8,,,-35,-3,,,-30,-1,,-6,11,,0,1,,48,,10,-10,-23,-11,,15,,-1,7,6,,,16,,,,,,,,,,,-12,-16,-4,9,19,-8,5,-12,-11,0,-9,-26,,,,,,,,,,
026500_2..N01X033::1404619200.0,32,-4,28,-19,,,,,,,,,,,,,,,,,-3,,,-2,,,,72,,,22,,,,,-1,,,,,25,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
027150_2..N08X016::1404619200.0,,,,,,,4,-3,-7,3,-64,2,21,11,,16,28,15,-9,,,-3,-3,,,16,1,,15,6,,20,8,,33,,4,10,7,17,,11,,8,13,8,,,17,,,,,,,,,,,3,-11,-25,15,9,-28,-2,8,-27,11,-10,1,,,,,,,,,,
028500_2..N01X033::1404619200.0,12,-11,19,-49,,,,,,,,,,,,,,,,,-4,,,8,,,,50,,,9,,,,,17,,,,,20,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029150_2..N08X016::1404619200.0,,,,,,,-4,1,-4,-19,-79,-26,19,-19,,10,11,-10,-5,,,18,-5,,,-13,5,,52,-4,,-10,12,,32,,-13,1,-2,-38,,-10,,3,18,-9,,,17,,,,,,,,,,,5,-35,7,14,16,-9,1,7,1,10,-13,-2,,,,,,,,,,
030500_2..N01X033::1404619200.0,19,-28,-23,-49,,,,,,,,,,,,,,,,,8,,,-79,,,,31,,,-6,,,,,-27,,,,,4,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031150_2..N08X016::1404619200.0,,,,,,,9,1,0,-5,-90,-2,32,-19,,10,10,9,-1,,,-26,9,,,12,11,,13,15,,16,1,,10,,-10,-2,-13,13,,5,,5,20,4,,,-3,,,,,,,,,,,12,6,10,-12,-13,-8,3,15,9,-11,-4,-1,,,,,,,,,,
032500_2..N01X033::1404619200.0,21,2,24,-19,,,,,,,,,,,,,,,,,14,,,-6,,,,45,,,-13,,,,,1,,,,,-4,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033150_2..N08X016::1404619200.0,,,,,,,-14,0,0,18,13,-6,20,11,,-10,-2,-5,14,,,5,12,,,21,16,,2,18,,21,17,,45,,-4,19,16,11,,20,,16,17,-3,,,-3,,,,,,,,,,,-5,17,19,-5,-13,-22,2,-7,15,-8,-8,-2,,,,,,,,,,
034300_2..N01X033::1404619200.0,,,,-19,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034650_2..N08X016::1404619200.0,,,,,,,13,20,-10,14,1,3,30,-19,,15,14,22,1,,,6,7,,,18,7,,20,15,,-7,-7,,62,,12,16,21,20,,0,,16,-9,21,,,24,,,,,,,,,,,15,6,-21,12,6,4,9,5,21,-9,18,-8,,,,,,,,,,
035800_2..N01X033::1404619200.0,-8,3,21,-49,,,,,,,,,,,,,,,,,17,,,2,,,,52,,,-6,,,,,4,,,,,-3,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036150_2..N08X016::1404619200.0,,,,,,,10,48,-9,7,-9,14,14,-19,,-4,7,-2,14,,,5,-6,,,5,-6,,3,7,,-8,-44,,88,,8,13,-8,7,,4,,-13,20,8,,,-2,,,,,,,,,,,-6,-10,-2,5,12,-9,1,12,9,-9,3,13,,,,,,,,,,
037300_2..N01X033::1404619200.0,8,13,18,-19,,,,,,,,,,,,,,,,,-5,,,-23,,,,69,,,-20,,,,,15,,,,,17,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037650_2..N08X016::1404619200.0,,,,,,,-7,21,16,4,7,14,16,-19,,6,13,5,2,,,-25,-2,,,13,5,,19,0,,-6,7,,37,,8,0,-4,0,,12,,2,21,14,,,35,,,,,,,,,,,11,3,6,11,1,3,11,14,2,-1,15,-8,,,,,,,,,,
038800_2..N01X033::1404619200.0,16,-13,12,11,,,,,,,,,,,,,,,,,4,,,2,,,,69,,,-5,,,,,15,,,,,3,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039150_2..N08X016::1404619200.0,,,,,,,5,4,9,-9,21,-10,26,11,,7,14,-5,0,,,-4,0,,,-19,9,,-6,-18,,14,-5,,39,,-8,-12,3,7,,7,,-3,6,2,,,-11,,,,,,,,,,,-15,2,-12,-3,-33,-18,-5,-18,10,-15,-16,-6,,,,,,,,,,
040300_2..N01X033::1404619200.0,,,,671,,,,,,,,,,,,,,,,,,,,,,,,890,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040650_2..N08X016::1404619200.0,,,,,,,2,61,-7,12,1,9,13,-19,,3,11,2,2,,,-3,-11,,,45,15,,-16,5,,-4,11,,28,,5,14,0,13,,-4,,-8,28,14,,,8,,,,,,,,,,,7,7,-10,4,13,-8,4,-12,-11,-1,-19,-7,,,,,,,,,,
041800_2..N01X033::1404619200.0,8,-8,5,-19,,,,,,,,,,,,,,,,,2,,,20,,,,61,,,7,,,,,-6,,,,,8,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042150_2..N08X016::1404619200.0,,,,,,,9,110,9,14,19,-64,50,71,,6,-10,4,10,,,19,12,,,-13,-14,,103,-11,,10,-4,,52,,9,-7,13,8,,31,,1,30,19,,,0,,,,,,,,,,,10,9,19,-6,0,3,-14,-14,14,-8,2,-17,,,,,,,,,,
043300_2..N01X033::1404619200.0,-3,-3,9,11,,,,,,,,,,,,,,,,,-7,,,8,,,,58,,,-18,,,,,-10,,,,,-6,,,,,,-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043650_2..N01X032::1404619200.0,,,,,,,-6,19,-11,-7,26,4,20,-19,,-18,7,7,-20,,,6,31,,,16,17,,5,-6,,22,-27,,43,,26,-3,-7,24,,3,,2,12,3,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044700_2..N01X033::1404619200.0,22,1,15,-19,,,,,,,,,,,,,,,,,19,,,-2,,,,49,,,20,,,,,2,,,,,22,,,,,,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045150_2..N01X032::1404619200.0,,,,,,,7,-3,-3,15,26,3,41,-19,,-3,12,11,-2,,,20,-6,,,26,29,,9,-2,,29,-7,,23,,-1,-3,-7,19,,-1,,-23,16,1,,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046300_2..N01X033::1404619200.0,17,-8,19,-49,,,,,,,,,,,,,,,,,14,,,10,,,,71,,,2,,,,,20,,,,,13,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046600_2..N01X032::1404619200.0,,,,,,,20,3,11,4,31,-3,25,11,,4,7,7,15,,,28,22,,,40,-8,,11,22,,10,-9,,35,,0,-10,-8,48,,-8,,-5,2,13,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047500_2..N01X033::1404619200.0,20,,,101,,,,,,,,,,,,,,,,,94,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047900_2..N01X032::1404619200.0,,,,,,,2,20,8,-1,-23,9,32,11,,10,13,11,15,,,55,12,,,-11,-7,,-14,-13,,6,-5,,57,,6,-7,1,-2,,1,,1,2,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048700_2..N01X033::1404619200.0,6,4,-1,11,,,,,,,,,,,,,,,,,-15,,,-12,,,,59,,,5,,,,,0,,,,,17,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049650_2..N01X032::1404619200.0,,,,,,,12,19,2,24,7,9,24,11,,-23,0,33,1,,,20,-2,,,40,5,,19,4,,13,2,,52,,4,5,12,-2,,23,,-25,-1,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049900_2..N01X033::1404619200.0,40,-6,13,41,,,,,,,,,,,,,,,,,18,,,-7,,,,58,,,21,,,,,-1,,,,,23,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051100_2..N01X033::1404619200.0,19,-12,-27,41,,,,,,,,,,,,,,,,,-17,,,-4,,,,51,,,3,,,,,10,,,,,-70,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051150_2..N01X032::1404619200.0,,,,,,,1,11,-8,-8,13,-9,18,11,,9,-4,5,10,,,-13,8,,,7,7,,3,9,,21,9,,34,,12,9,11,5,,13,,9,13,8,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052300_2..N01X033::1404619200.0,23,-10,-11,71,,,,,,,,,,,,,,,,,9,,,7,,,,41,,,-4,,,,,14,,,,,8,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052300_2..N01X032::1404619200.0,,,,,,,16,28,4,15,3,-9,19,-19,,-3,-9,22,-11,,,6,-9,,,153,25,,14,0,,2,-10,,41,,2,9,13,16,,5,,-14,24,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053500_2..N01X033::1404619200.0,10,-4,9,-19,,,,,,,,,,,,,,,,,13,,,-6,,,,49,,,14,,,,,-2,,,,,16,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053500_2..N01X032::1404619200.0,,,,,,,3,6,3,15,24,0,44,11,,4,23,20,12,,,20,-3,,,7,16,,16,-1,,19,-3,,46,,23,-1,7,12,,-3,,1,31,29,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054550_2..N01X032::1404619200.0,,,,,,,7,-4,21,8,25,-4,4,-19,,-8,-1,-7,13,,,14,5,,,-3,22,,0,-15,,14,-27,,25,,-1,19,20,15,,13,,-14,9,15,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054700_2..N01X033::1404619200.0,26,-3,-3,161,,,,,,,,,,,,,,,,,-9,,,14,,,,67,,,8,,,,,-5,,,,,-8,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_2..N01X032::1404619200.0,,,,,,,5,6,6,2,7,-9,-8,-19,,12,16,10,10,,,24,14,,,-15,15,,11,-6,,2,-12,,45,,-7,-1,4,7,,-8,,5,24,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055900_2..N01X033::1404619200.0,19,-4,-23,71,,,,,,,,,,,,,,,,,13,,,-9,,,,50,,,-2,,,,,-5,,,,,6,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056950_2..N01X032::1404619200.0,,,,,,,19,-28,-12,21,26,13,43,-19,,-6,15,12,5,,,9,-85,,,20,34,,5,11,,-18,17,,50,,-3,14,-5,30,,19,,19,79,4,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057100_2..N01X033::1404619200.0,7,9,1,41,,,,,,,,,,,,,,,,,-7,,,-5,,,,52,,,11,,,,,8,,,,,-6,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_2..N01X032::1404619200.0,,,,,,,3,14,10,25,24,0,33,-19,,17,21,-27,11,,,30,0,,,19,14,,22,-1,,38,22,,51,,18,31,5,15,,2,,17,14,5,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058300_2..N01X033::1404619200.0,28,-2,-13,11,,,,,,,,,,,,,,,,,7,,,8,,,,35,,,-8,,,,,-8,,,,,3,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_2..N01X032::1404619200.0,,,,,,,-8,-4,-4,11,24,-10,21,-19,,9,12,-36,-9,,,11,18,,,17,1,,-3,-9,,9,14,,27,,10,-5,-6,10,,-37,,2,28,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059500_2..N01X033::1404619200.0,16,-6,-1,-109,,,,,,,,,,,,,,,,,13,,,19,,,,61,,,-7,,,,,-5,,,,,-4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060550_2..N01X032::1404619200.0,,,,,,,-28,13,-13,12,28,-2,-1,-19,,-1,13,19,16,,,19,8,,,0,-61,,-8,16,,51,-8,,50,,4,-59,0,17,,-32,,-7,21,20,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060700_2..N01X033::1404619200.0,3,4,6,-199,,,,,,,,,,,,,,,,,-34,,,20,,,,73,,,14,,,,,-2,,,,,-5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061750_2..N01X032::1404619200.0,,,,,,,4,-18,-14,27,26,10,60,-49,,-20,-2,17,27,,,18,14,,,-10,7,,18,-6,,22,-3,,50,,18,-1,16,-1,,3,,7,19,1,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061900_2..N01X033::1404619200.0,29,11,14,41,,,,,,,,,,,,,,,,,0,,,-1,,,,48,,,-74,,,,,8,,,,,-2,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062950_2..N01X032::1404619200.0,,,,,,,4,1,-3,-2,71,-2,18,11,,0,10,15,-3,,,-3,0,,,11,-21,,-7,0,,3,-10,,28,,-2,9,0,-7,,11,,-11,60,0,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063100_2..N01X033::1404619200.0,9,-13,0,41,,,,,,,,,,,,,,,,,-3,,,-2,,,,41,,,3,,,,,10,,,,,-12,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064150_2..N01X032::1404619200.0,,,,,,,17,5,-5,-1,23,3,27,11,,-5,8,26,18,,,18,-13,,,59,24,,12,-5,,25,2,,27,,-1,-5,-10,16,,6,,-2,12,10,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064300_2..N01X033::1404619200.0,23,-3,2,-19,,,,,,,,,,,,,,,,,7,,,-8,,,,26,,,-9,,,,,0,,,,,-2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065350_2..N01X032::1404619200.0,,,,,,,0,22,13,22,6,0,12,11,,-24,2,9,14,,,44,-27,,,5,11,,33,8,,18,24,,28,,8,6,9,16,,14,,6,27,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065500_2..N01X033::1404619200.0,11,16,-8,-19,,,,,,,,,,,,,,,,,-10,,,7,,,,61,,,6,,,,,17,,,,,15,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_2..N01X032::1404619200.0,,,,,,,16,2,17,8,32,13,42,221,,10,1,-11,10,,,35,15,,,14,-9,,-4,-5,,17,-5,,36,,0,0,15,29,,6,,3,5,12,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066700_2..N01X033::1404619200.0,-2,-2,-7,71,,,,,,,,,,,,,,,,,10,,,13,,,,54,,,-3,,,,,-8,,,,,11,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067750_2..N01X032::1404619200.0,,,,,,,1,48,1,15,18,12,47,-19,,7,16,-2,10,,,21,1,,,11,17,,1,11,,8,-5,,22,,-4,-12,5,3,,4,,-2,-1,-9,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067900_2..N01X033::1404619200.0,10,-5,12,-49,,,,,,,,,,,,,,,,,7,,,-7,,,,63,,,15,,,,,-2,,,,,17,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01X032::1404619200.0,,,,,,,0,15,6,10,-4,-8,37,11,,6,18,3,-3,,,6,0,,,8,3,,31,9,,5,-6,,56,,11,6,6,16,,-4,,0,24,17,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069100_2..N01X033::1404619200.0,19,-11,14,41,,,,,,,,,,,,,,,,,-8,,,2,,,,47,,,11,,,,,15,,,,,-5,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070150_2..N01X032::1404619200.0,,,,,,,-28,7,10,11,35,-3,38,-19,,8,10,20,17,,,-8,-8,,,-17,25,,17,2,,15,2,,48,,2,2,3,5,,14,,1,155,-4,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070300_2..N01X033::1404619200.0,21,-13,-1,71,,,,,,,,,,,,,,,,,-12,,,8,,,,50,,,2,,,,,19,,,,,-12,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01X032::1404619200.0,,,,,,,6,80,16,12,61,-4,27,11,,-1,19,5,-3,,,28,-6,,,6,6,,13,6,,22,-2,,59,,13,11,7,15,,15,,-10,11,13,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071500_2..N01X033::1404619200.0,8,14,-7,-79,,,,,,,,,,,,,,,,,-6,,,6,,,,56,,,8,,,,,12,,,,,18,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_2..N01X032::1404619200.0,,,,,,,11,13,-16,-3,71,9,28,-19,,0,21,12,5,,,1,-9,,,9,13,,-15,3,,18,12,,40,,-4,10,9,3,,-1,,-9,7,1,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072700_2..N01X033::1404619200.0,44,-5,0,11,,,,,,,,,,,,,,,,,7,,,20,,,,63,,,19,,,,,-4,,,,,-4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_2..N01X032::1404619200.0,,,,,,,16,23,9,9,24,-2,9,11,,-5,0,18,7,,,4,2,,,-5,18,,10,44,,8,0,,60,,22,13,19,19,,14,,16,31,14,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073900_2..N01X033::1404619200.0,7,9,4,-49,,,,,,,,,,,,,,,,,-1,,,-5,,,,68,,,17,,,,,7,,,,,-4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074950_2..N01X032::1404619200.0,,,,,,,3,9,-1,-2,16,-5,-7,-19,,-10,19,6,2,,,-11,-15,,,-5,8,,-1,-3,,1,-14,,51,,13,5,3,12,,18,,13,17,20,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075100_2..N01X033::1404619200.0,12,14,-20,131,,,,,,,,,,,,,,,,,-7,,,3,,,,71,,,-18,,,,,10,,,,,-4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_2..N01X032::1404619200.0,,,,,,,16,-3,27,4,7,12,30,-19,,-8,-2,15,11,,,34,-3,,,-2,20,,11,2,,9,-2,,31,,27,8,16,0,,9,,13,25,7,,,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076300_2..N01X033::1404619200.0,19,1,12,41,,,,,,,,,,,,,,,,,-2,,,-4,,,,52,,,9,,,,,3,,,,,13,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_2..N01X032::1404619200.0,,,,,,,7,16,9,-19,-20,-14,16,161,,16,20,20,-7,,,7,-3,,,10,2,,-6,4,,10,7,,42,,1,11,7,-22,,14,,12,21,19,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077500_2..N01X033::1404619200.0,1,2,5,101,,,,,,,,,,,,,,,,,5,,,-9,,,,57,,,-10,,,,,0,,,,,-3,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_2..N01X032::1404619200.0,,,,,,,13,26,14,19,36,6,40,11,,1,13,21,2,,,-33,3,,,-27,2,,25,8,,36,-6,,32,,0,6,25,23,,21,,-1,41,8,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078700_2..N01X033::1404619200.0,20,10,14,101,,,,,,,,,,,,,,,,,9,,,-3,,,,55,,,-4,,,,,7,,,,,6,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079750_2..N01X032::1404619200.0,,,,,,,-54,14,14,14,8,9,24,-19,,-12,8,-6,23,,,8,2,,,20,24,,28,13,,13,-11,,27,,14,9,-6,-1,,-3,,11,26,30,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079900_2..N01X033::1404619200.0,24,-3,16,41,,,,,,,,,,,,,,,,,-8,,,-11,,,,53,,,8,,,,,-6,,,,,10,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_2..N01X032::1404619200.0,,,,,,,-9,24,10,18,11,16,28,-49,,3,12,23,5,,,9,16,,,6,5,,22,-6,,6,12,,57,,11,-3,-46,5,,16,,-1,23,-7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
